line,generation,cas9,degron,A,AB,B,WT,win,loss,total
1590,F0,zpg,FALSE,0,0,2,3,0,5,5
1590,F0,zpg,FALSE,15,30,6,0,45,6,51
1590,F1,zpg,FALSE,6,3,2,4,9,6,15
1590,F1,zpg,FALSE,10,2,5,3,12,8,20
1760E1B,F0,vasa,FALSE,0,3,2,4,3,6,9
1760E1B,F1,vasa,FALSE,0,0,0,1,0,1,1
1760E1B,F1,vasa,FALSE,8,0,8,8,8,16,24
1760E1B,F1,vasa,FALSE,4,11,9,8,15,17,32
2229,F0,zpg,TRUE,0,1,5,2,1,7,8
2229,F0,zpg,TRUE,30,29,2,1,59,3,62
2229,F0,zpg,TRUE,2,4,0,0,6,0,6
2229,F1,zpg,TRUE,0,0,0,1,0,1,1
2229,F1,zpg,TRUE,4,6,0,0,10,0,10
2229,F1,zpg,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,17,10,0,0,27,0,27
2383,F0,vasa,TRUE,13,10,0,0,23,0,23
2383,F0,vasa,TRUE,1,2,0,0,3,0,3
2383,F1,vasa,TRUE,29,39,2,2,68,4,72
2383,F1,vasa,TRUE,4,9,0,0,13,0,13
2383,F1,vasa,TRUE,1,1,0,0,2,0,2
1590,F1,zpg,FALSE,4,3,0,0,7,0,7
1590,F1,zpg,FALSE,7,6,0,0,13,0,13
1760E1B,F1,vasa,FALSE,1,0,5,6,1,11,12
1760E1B,F1,vasa,FALSE,5,10,7,4,15,11,26
2229,F0,zpg,TRUE,1,1,7,7,2,14,16
2229,F0,zpg,TRUE,13,14,0,2,27,2,29
2229,F0,zpg,TRUE,4,1,0,0,5,0,5
2229,F1,zpg,TRUE,0,0,4,2,0,6,6
2229,F1,zpg,TRUE,7,9,0,0,16,0,16
2229,F1,zpg,TRUE,2,0,0,0,2,0,2
2383,F0,vasa,TRUE,34,46,1,3,80,4,84
2383,F0,vasa,TRUE,8,8,0,0,16,0,16
2383,F0,vasa,TRUE,1,0,0,0,1,0,1
2383,F1,vasa,TRUE,27,35,2,1,62,3,65
2383,F1,vasa,TRUE,3,4,0,0,7,0,7
2383,F1,vasa,TRUE,0,1,0,0,1,0,1
1590,F1,zpg,FALSE,0,0,0,4,0,4,4
1590,F1,zpg,FALSE,8,5,3,2,13,5,18
1590,F1,zpg,FALSE,3,4,6,3,7,9,16
1760E1B,F1,vasa,FALSE,1,0,0,0,1,0,1
1760E1B,F1,vasa,FALSE,5,6,0,0,11,0,11
2229,F0,zpg,TRUE,0,0,5,11,0,16,16
2229,F0,zpg,TRUE,34,24,0,0,58,0,58
2229,F0,zpg,TRUE,1,1,0,0,2,0,2
2229,F1,zpg,TRUE,0,0,4,8,0,12,12
2229,F1,zpg,TRUE,10,13,0,0,23,0,23
2383,F0,vasa,TRUE,26,36,3,1,62,4,66
2383,F0,vasa,TRUE,4,7,0,0,11,0,11
2383,F0,vasa,TRUE,2,2,0,0,4,0,4
2383,F1,vasa,TRUE,17,17,2,2,34,4,38
2383,F1,vasa,TRUE,0,3,0,0,3,0,3
1590,F0,zpg,FALSE,0,0,0,2,0,2,2
1590,F0,zpg,FALSE,37,41,1,0,78,1,79
1590,F1,zpg,FALSE,0,0,1,0,0,1,1
1590,F1,zpg,FALSE,24,32,18,16,56,34,90
1590,F1,zpg,FALSE,5,9,11,9,14,20,34
1760E1B,F1,vasa,FALSE,6,0,3,5,6,8,14
1760E1B,F1,vasa,FALSE,6,16,4,6,22,10,32
2229,F0,zpg,TRUE,10,1,5,5,11,10,21
2229,F0,zpg,TRUE,1,7,0,0,8,0,8
2229,F0,zpg,TRUE,1,0,0,0,1,0,1
2229,F1,zpg,TRUE,15,10,0,0,25,0,25
2383,F0,vasa,TRUE,22,23,0,0,45,0,45
2383,F0,vasa,TRUE,1,4,0,0,5,0,5
2383,F1,vasa,TRUE,16,28,0,0,44,0,44
2383,F1,vasa,TRUE,0,1,0,0,1,0,1
2383,F1,vasa,TRUE,1,0,0,0,1,0,1
1590,F1,zpg,FALSE,0,0,0,1,0,1,1
1590,F1,zpg,FALSE,0,6,1,0,6,1,7
1590,F1,zpg,FALSE,4,0,0,0,4,0,4
1760E1B,F1,vasa,FALSE,8,0,4,10,8,14,22
1760E1B,F1,vasa,FALSE,6,15,9,9,21,18,39
2229,F0,zpg,TRUE,1,1,3,3,2,6,8
2229,F0,zpg,TRUE,9,17,0,0,26,0,26
2229,F1,zpg,TRUE,0,0,3,0,0,3,3
2229,F1,zpg,TRUE,1,6,0,0,7,0,7
2229,F1,zpg,TRUE,0,0,0,1,0,1,1
2383,F0,vasa,TRUE,1,2,0,0,3,0,3
2383,F1,vasa,TRUE,10,10,0,0,20,0,20
2383,F1,vasa,TRUE,7,6,0,0,13,0,13
2383,F1,vasa,TRUE,0,1,0,0,1,0,1
1590,F0,zpg,FALSE,0,0,1,0,0,1,1
1590,F0,zpg,FALSE,3,11,0,0,14,0,14
1590,F1,zpg,FALSE,0,0,1,1,0,2,2
1590,F1,zpg,FALSE,12,17,2,4,29,6,35
1590,F1,zpg,FALSE,10,6,2,0,16,2,18
1760E1B,F1,vasa,FALSE,7,0,4,13,7,17,24
1760E1B,F1,vasa,FALSE,7,12,2,5,19,7,26
2229,F0,zpg,TRUE,0,0,0,1,0,1,1
2229,F0,zpg,TRUE,6,6,0,0,12,0,12
2229,F0,zpg,TRUE,1,0,0,0,1,0,1
2229,F1,zpg,TRUE,3,3,0,0,6,0,6
2383,F0,vasa,TRUE,26,24,2,0,50,2,52
2383,F0,vasa,TRUE,8,10,0,0,18,0,18
2383,F0,vasa,TRUE,2,4,0,0,6,0,6
2383,F1,vasa,TRUE,42,32,0,0,74,0,74
2383,F1,vasa,TRUE,6,5,0,0,11,0,11
2383,F1,vasa,TRUE,1,0,0,0,1,0,1
1590,F0,zpg,FALSE,0,0,1,6,0,7,7
1590,F0,zpg,FALSE,18,14,4,0,32,4,36
1590,F1,zpg,FALSE,1,0,0,0,1,0,1
1760E1B,F1,vasa,FALSE,11,0,5,6,11,11,22
1760E1B,F1,vasa,FALSE,3,12,3,5,15,8,23
2229,F0,zpg,TRUE,0,1,0,4,1,4,5
2229,F0,zpg,TRUE,19,21,0,0,40,0,40
2229,F0,zpg,TRUE,3,0,0,0,3,0,3
2229,F1,zpg,TRUE,1,0,2,1,1,3,4
2229,F1,zpg,TRUE,14,14,0,0,28,0,28
2229,F1,zpg,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,30,27,0,0,57,0,57
2383,F0,vasa,TRUE,15,14,0,0,29,0,29
2383,F0,vasa,TRUE,0,1,0,0,1,0,1
2383,F1,vasa,TRUE,15,11,0,1,26,1,27
2383,F1,vasa,TRUE,0,2,0,0,2,0,2
1590,F0,zpg,FALSE,0,0,0,2,0,2,2
1590,F0,zpg,FALSE,37,29,5,0,66,5,71
1590,F1,zpg,FALSE,0,0,3,1,0,4,4
1590,F1,zpg,FALSE,2,1,4,0,3,4,7
1760E1B,F1,vasa,FALSE,0,0,2,0,0,2,2
1760E1B,F1,vasa,FALSE,10,0,6,3,10,9,19
1760E1B,F1,vasa,FALSE,1,12,2,5,13,7,20
2229,F0,zpg,TRUE,0,0,0,1,0,1,1
2229,F0,zpg,TRUE,1,0,0,0,1,0,1
2229,F1,zpg,TRUE,0,0,1,0,0,1,1
2229,F1,zpg,TRUE,15,6,0,0,21,0,21
2229,F1,zpg,TRUE,3,3,0,0,6,0,6
2383,F0,vasa,TRUE,24,22,0,2,46,2,48
2383,F0,vasa,TRUE,0,2,0,0,2,0,2
2383,F1,vasa,TRUE,14,19,1,0,33,1,34
2383,F1,vasa,TRUE,0,2,0,0,2,0,2
2383,F1,vasa,TRUE,1,0,0,0,1,0,1
1590,F0,zpg,FALSE,4,1,0,0,5,0,5
1590,F1,zpg,FALSE,0,0,6,10,0,16,16
1590,F1,zpg,FALSE,19,13,15,6,32,21,53
1590,F1,zpg,FALSE,0,6,0,1,6,1,7
1760E1B,F1,vasa,FALSE,7,0,7,7,7,14,21
1760E1B,F1,vasa,FALSE,9,15,5,3,24,8,32
2229,F0,zpg,TRUE,0,0,3,4,0,7,7
2229,F0,zpg,TRUE,8,8,0,0,16,0,16
2229,F1,zpg,TRUE,0,0,3,6,0,9,9
2229,F1,zpg,TRUE,7,7,0,0,14,0,14
2229,F1,zpg,TRUE,0,1,0,0,1,0,1
2383,F0,vasa,TRUE,42,43,0,2,85,2,87
2383,F0,vasa,TRUE,0,2,0,0,2,0,2
2383,F1,vasa,TRUE,30,37,4,2,67,6,73
2383,F1,vasa,TRUE,1,1,0,0,2,0,2
1590,F0,zpg,FALSE,5,7,0,0,12,0,12
1590,F1,zpg,FALSE,2,8,4,6,10,10,20
1590,F1,zpg,FALSE,3,2,2,5,5,7,12
1760E1B,F1,vasa,FALSE,1,0,7,0,1,7,8
1760E1B,F1,vasa,FALSE,4,4,6,0,8,6,14
2229,F0,zpg,TRUE,0,0,0,1,0,1,1
2229,F0,zpg,TRUE,3,7,0,0,10,0,10
2229,F1,zpg,TRUE,0,0,1,1,0,2,2
2229,F1,zpg,TRUE,6,6,0,0,12,0,12
2229,F1,zpg,TRUE,2,0,0,0,2,0,2
2383,F0,vasa,TRUE,25,18,0,3,43,3,46
2383,F0,vasa,TRUE,2,1,0,0,3,0,3
2383,F0,vasa,TRUE,0,3,0,0,3,0,3
2383,F1,vasa,TRUE,25,38,0,0,63,0,63
2383,F1,vasa,TRUE,1,0,0,0,1,0,1
2383,F1,vasa,TRUE,0,1,0,0,1,0,1
1590,F0,zpg,FALSE,38,49,0,0,87,0,87
1590,F1,zpg,FALSE,0,0,1,0,0,1,1
1590,F1,zpg,FALSE,3,8,3,3,11,6,17
1590,F1,zpg,FALSE,3,5,0,1,8,1,9
1760E1B,F1,vasa,FALSE,2,0,4,0,2,4,6
1760E1B,F1,vasa,FALSE,6,6,3,1,12,4,16
2229,F0,zpg,TRUE,0,0,8,13,0,21,21
2229,F0,zpg,TRUE,45,42,4,3,87,7,94
2229,F0,zpg,TRUE,2,2,0,1,4,1,5
2229,F1,zpg,TRUE,0,1,5,3,1,8,9
2229,F1,zpg,TRUE,20,27,0,0,47,0,47
2229,F1,zpg,TRUE,1,2,0,0,3,0,3
2383,F0,vasa,TRUE,31,18,0,0,49,0,49
2383,F0,vasa,TRUE,1,1,0,0,2,0,2
2383,F0,vasa,TRUE,0,3,0,0,3,0,3
2383,F1,vasa,TRUE,36,44,0,2,80,2,82
2383,F1,vasa,TRUE,4,7,0,0,11,0,11
2383,F1,vasa,TRUE,0,3,0,0,3,0,3
1590,F0,zpg,FALSE,0,0,3,4,0,7,7
1590,F0,zpg,FALSE,30,19,2,0,49,2,51
1590,F1,zpg,FALSE,0,1,0,1,1,1,2
1590,F1,zpg,FALSE,13,13,0,1,26,1,27
1590,F1,zpg,FALSE,7,8,1,1,15,2,17
1760E1B,F1,vasa,FALSE,0,0,0,2,0,2,2
1760E1B,F1,vasa,FALSE,6,0,0,0,6,0,6
1760E1B,F1,vasa,FALSE,23,35,0,0,58,0,58
2229,F0,zpg,TRUE,3,3,0,0,6,0,6
2229,F1,zpg,TRUE,0,0,3,5,0,8,8
2229,F1,zpg,TRUE,20,20,0,0,40,0,40
2229,F1,zpg,TRUE,0,1,0,0,1,0,1
2383,F0,vasa,TRUE,22,22,1,2,44,3,47
2383,F0,vasa,TRUE,9,17,0,0,26,0,26
2383,F0,vasa,TRUE,0,4,0,0,4,0,4
2383,F1,vasa,TRUE,21,30,0,1,51,1,52
2383,F1,vasa,TRUE,1,2,0,0,3,0,3
1590,F1,zpg,FALSE,8,5,0,2,13,2,15
1590,F1,zpg,FALSE,3,0,1,0,3,1,4
1760E1B,F1,vasa,FALSE,1,0,0,0,1,0,1
2229,F0,zpg,TRUE,0,0,9,11,0,20,20
2229,F0,zpg,TRUE,21,18,0,0,39,0,39
2229,F0,zpg,TRUE,1,1,0,0,2,0,2
2229,F1,zpg,TRUE,0,0,3,7,0,10,10
2229,F1,zpg,TRUE,4,3,0,0,7,0,7
2383,F0,vasa,TRUE,34,29,0,0,63,0,63
2383,F0,vasa,TRUE,8,13,0,0,21,0,21
2383,F0,vasa,TRUE,6,3,0,0,9,0,9
2383,F1,vasa,TRUE,18,20,0,0,38,0,38
2383,F1,vasa,TRUE,1,1,0,0,2,0,2
1590,F0,zpg,FALSE,31,28,0,0,59,0,59
1590,F1,zpg,FALSE,0,0,1,0,0,1,1
1590,F1,zpg,FALSE,24,17,1,0,41,1,42
1590,F1,zpg,FALSE,16,12,0,1,28,1,29
1760E1B,F1,vasa,FALSE,0,0,1,0,0,1,1
1760E1B,F1,vasa,FALSE,0,2,2,1,2,3,5
2229,F0,zpg,TRUE,0,0,8,9,0,17,17
2229,F0,zpg,TRUE,49,52,0,0,101,0,101
2229,F1,zpg,TRUE,0,0,4,4,0,8,8
2229,F1,zpg,TRUE,29,33,0,0,62,0,62
2229,F1,zpg,TRUE,2,6,0,0,8,0,8
2383,F0,vasa,TRUE,29,16,4,3,45,7,52
2383,F0,vasa,TRUE,14,19,0,0,33,0,33
2383,F0,vasa,TRUE,2,1,0,0,3,0,3
2383,F1,vasa,TRUE,32,25,4,6,57,10,67
2383,F1,vasa,TRUE,2,6,0,0,8,0,8
2383,F1,vasa,TRUE,2,0,0,0,2,0,2
1590,F0,zpg,FALSE,0,0,2,3,0,5,5
1590,F0,zpg,FALSE,23,36,10,4,59,14,73
1760E1B,F1,vasa,FALSE,8,1,7,7,9,14,23
1760E1B,F1,vasa,FALSE,21,19,11,19,40,30,70
2229,F0,zpg,TRUE,5,8,0,0,13,0,13
2229,F1,zpg,TRUE,0,0,2,2,0,4,4
2229,F1,zpg,TRUE,2,2,0,0,4,0,4
2229,F1,zpg,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,40,20,0,4,60,4,64
2383,F0,vasa,TRUE,3,5,0,0,8,0,8
2383,F0,vasa,TRUE,3,0,0,0,3,0,3
2383,F1,vasa,TRUE,49,28,0,0,77,0,77
2383,F1,vasa,TRUE,2,0,0,0,2,0,2
1590,F0,zpg,FALSE,0,0,0,1,0,1,1
1590,F0,zpg,FALSE,2,1,0,0,3,0,3
1590,F1,zpg,FALSE,0,0,0,4,0,4,4
1590,F1,zpg,FALSE,19,19,16,14,38,30,68
1590,F1,zpg,FALSE,4,3,0,0,7,0,7
1760E1B,F1,vasa,FALSE,1,0,0,0,1,0,1
1760E1B,F1,vasa,FALSE,6,1,0,0,7,0,7
1760E1B,F1,vasa,FALSE,6,6,0,0,12,0,12
2229,F0,zpg,TRUE,0,0,9,6,0,15,15
2229,F0,zpg,TRUE,32,33,0,0,65,0,65
2229,F1,zpg,TRUE,0,0,2,2,0,4,4
2229,F1,zpg,TRUE,12,8,0,0,20,0,20
2383,F0,vasa,TRUE,25,26,0,5,51,5,56
2383,F0,vasa,TRUE,1,17,0,0,18,0,18
2383,F0,vasa,TRUE,1,1,0,0,2,0,2
2383,F1,vasa,TRUE,6,4,0,0,10,0,10
2383,F1,vasa,TRUE,3,3,0,0,6,0,6
1590,F0,zpg,FALSE,25,30,0,1,55,1,56
1590,F1,zpg,FALSE,0,0,4,0,0,4,4
1590,F1,zpg,FALSE,9,5,3,8,14,11,25
1590,F1,zpg,FALSE,3,7,10,2,10,12,22
1760E1B,F1,vasa,FALSE,1,2,0,0,3,0,3
1760E1B,F1,vasa,FALSE,12,9,0,0,21,0,21
2229,F0,zpg,TRUE,0,0,3,3,0,6,6
2229,F0,zpg,TRUE,5,2,0,1,7,1,8
2229,F1,zpg,TRUE,0,1,0,0,1,0,1
2383,F0,vasa,TRUE,15,16,0,0,31,0,31
2383,F0,vasa,TRUE,0,8,0,0,8,0,8
2383,F1,vasa,TRUE,20,25,6,2,45,8,53
2383,F1,vasa,TRUE,1,4,0,0,5,0,5
1590,F1,zpg,FALSE,1,3,0,0,4,0,4
1760E1B,F1,vasa,FALSE,0,1,0,0,1,0,1
1760E1B,F1,vasa,FALSE,1,1,7,2,2,9,11
1760E1B,F1,vasa,FALSE,4,8,1,1,12,2,14
2229,F0,zpg,TRUE,0,0,1,0,0,1,1
2229,F0,zpg,TRUE,5,4,0,0,9,0,9
2229,F1,zpg,TRUE,15,14,0,0,29,0,29
2383,F0,vasa,TRUE,15,20,0,0,35,0,35
2383,F0,vasa,TRUE,0,4,0,0,4,0,4
2383,F1,vasa,TRUE,10,14,1,1,24,2,26
2383,F1,vasa,TRUE,1,1,0,0,2,0,2
1590,F1,zpg,FALSE,0,0,0,2,0,2,2
1590,F1,zpg,FALSE,7,4,5,3,11,8,19
1590,F1,zpg,FALSE,19,2,14,0,21,14,35
1760E1B,F1,vasa,FALSE,2,0,0,0,2,0,2
1760E1B,F1,vasa,FALSE,4,10,0,0,14,0,14
2229,F0,zpg,TRUE,0,0,4,2,0,6,6
2229,F0,zpg,TRUE,16,26,0,2,42,2,44
2229,F0,zpg,TRUE,0,2,0,0,2,0,2
2229,F1,zpg,TRUE,0,0,2,0,0,2,2
2229,F1,zpg,TRUE,0,1,0,0,1,0,1
2229,F1,zpg,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,4,1,0,0,5,0,5
2383,F0,vasa,TRUE,5,5,0,0,10,0,10
2383,F1,vasa,TRUE,30,29,1,1,59,2,61
2383,F1,vasa,TRUE,0,5,0,0,5,0,5
1760E1B,F1,vasa,FALSE,8,1,0,0,9,0,9
1760E1B,F1,vasa,FALSE,12,22,0,0,34,0,34
2229,F0,zpg,TRUE,0,0,14,13,0,27,27
2229,F0,zpg,TRUE,33,33,0,0,66,0,66
2229,F1,zpg,TRUE,0,0,2,1,0,3,3
2229,F1,zpg,TRUE,3,8,0,0,11,0,11
2229,F1,zpg,TRUE,0,0,1,0,0,1,1
2383,F0,vasa,TRUE,18,13,3,2,31,5,36
2383,F0,vasa,TRUE,9,12,0,0,21,0,21
2383,F0,vasa,TRUE,1,8,0,0,9,0,9
2383,F1,vasa,TRUE,60,49,2,0,109,2,111
2383,F1,vasa,TRUE,1,3,0,0,4,0,4
1590,F0,zpg,FALSE,10,12,0,0,22,0,22
1590,F1,zpg,FALSE,0,0,1,0,0,1,1
1590,F1,zpg,FALSE,23,16,1,0,39,1,40
1590,F1,zpg,FALSE,17,26,0,0,43,0,43
1760E1B,F1,vasa,FALSE,5,1,3,1,6,4,10
1760E1B,F1,vasa,FALSE,10,13,2,6,23,8,31
2229,F0,zpg,TRUE,0,0,11,3,0,14,14
2229,F0,zpg,TRUE,36,39,0,0,75,0,75
2229,F1,zpg,TRUE,0,0,1,0,0,1,1
2229,F1,zpg,TRUE,2,0,0,0,2,0,2
2229,F1,zpg,TRUE,0,1,0,0,1,0,1
2383,F0,vasa,TRUE,23,15,1,2,38,3,41
2383,F0,vasa,TRUE,9,10,0,0,19,0,19
2383,F0,vasa,TRUE,1,2,0,0,3,0,3
